설치시설명,상세설치장소,설치유형,소재지도로명주소,,위도,경도,성인아동범용여부,제조사,제조번호,운영담당자명,운영기관전화번호,운영기관명,관리기관전화번호,관리기관명,데이터기준일자
한국타이어테크노돔,1층 비지니스센터,캐비넷방식고정형,대전광역시 유성구 유성대로935번길 50,,36.37971941,127.3382027,,메디아나,1.56E+11,한주희,042-724-1000,한국타이어테크노돔,042-724-1000,한국타이어테크노돔,2018-08-21
산내종합사회복지관,산내종합사회복지관,캐비넷방식고정형,"대전광역시 동구 산내로 1352-25 산내종합사회복지관 사무실, 2층",,36.28471333,127.4677001,,씨유메디칼시스템,GIN40B0054,김지학,042-272-0591,산내종합사회복지관,042-272-0591,산내종합사회복지관,2018-08-21
한국환경공단충청권지역본부,1층 엘리베이터 앞,캐비넷방식고정형,대전광역시 서구 청사로 156,,36.35944379,127.3810593,,(주)씨유메디칼시스템,P1020E0462,송정미,042-939-2208,한국환경공단충청권지역본부,042-939-2208,한국환경공단충청권지역본부,2018-08-21
F&U 신용정보(주),대전 중구 계룡로 820 8층 하나은행,캐비넷방식고정형,대전광역시 중구 계룡로 820 하나은행 8층,,36.32658463,127.4069018,,(주) 라디안,D011.16050187,남승리,02-2003-3522,F&U 신용정보(주),02-2003-3522,F&U 신용정보(주),2018-08-21
대전도시철도공사 중구청역,지하 3층 역무실 입구,캐비넷방식고정형,대전광역시 중구 중앙로 지하71,,36.32478189,127.4195259,,(주)씨유메디컬시스템,RP1H20B0084,민경석(팩스: 042-226-3106),042-539-3606,대전도시철도공사 중구청역,042-539-3606,대전도시철도공사 중구청역,2018-08-21
대전도시철도공사 중구청역,지하5층승강장,캐비넷방식고정형,대전광역시 중구 중앙로 지하71,,36.32478189,127.4195259,,(주)씨유메디컬시스템,RP2149B0122,민경석(팩스: 042-226-3106),042-539-3606,대전도시철도공사 중구청역,042-539-3606,대전도시철도공사 중구청역,2018-08-21
대전 동구청,민원실(1층)내 중앙출입문 옆,캐비넷방식고정형,대전광역시 동구 동구청로 147,,36.31200354,127.4549109,,미국PhillpsMedicalsyst,B10H-04338,백경희,042-251-4114,대전 동구청,042-251-4114,대전 동구청,2018-08-21
하우스토리1차아파트,보안실앞,캐비넷방식고정형,대전광역시 중구 계룡로 923 관리사무소,,36.32046372,127.4153201,,(주)나눔테크,NT10031-0000-16-00042,이내경,042-221-8220,하우스토리1차아파트,042-221-8220,하우스토리1차아파트,2018-08-21
대전 동구청,동구청본관10층총무과출입문벽면,캐비넷방식고정형,대전광역시 동구 동구청로 147,,36.31200354,127.4549109,,미국PhillpsMedicalsyst,B10H-04324,문강숙,042-251-4114,대전 동구청,042-251-4114,대전 동구청,2018-08-21
도시철도공사대전역,지하 5층 반석행 PSD 2-3 앞,캐비넷방식고정형,대전광역시 동구 중앙로 지하218,,36.33128789,127.4328101,,(주)씨유메디컬,RP1H20B0153,박일영(유선:042-222-3104,042-224-3104,도시철도공사대전역,042-224-3104,도시철도공사대전역,2018-08-21
월평종합사회복지관,월평종합사회복지관 2층 강당입구(우측),캐비넷방식고정형,대전광역시 서구 월평북로 11,,36.36348675,127.3700705,,(주)씨유메디칼시스템,G1N09E0257,노해인,042-484-6181,월평종합사회복지관,042-484-6181,월평종합사회복지관,2018-08-21
정림종합사회복지관,정림종합사회복지관 지상1층 로비,캐비넷방식고정형,대전광역시 서구 계백로1286번길 86,,36.30417031,127.3668597,,씨유메디칼시스템,G1N36W0469,주영호,042-584-4451,정림종합사회복지관,042-584-4451,정림종합사회복지관,2018-08-21
용문종합사회복지관,용문종합사회복지관 2층 로비 (사무실 앞),캐비넷방식고정형,대전광역시 서구 계룡로 626-1,,36.33914855,127.3913373,,씨유메디칼,G1N36W0439,김동훈,042-537-0615,용문종합사회복지관,042-537-0615,용문종합사회복지관,2018-08-21
대전광역시 시설관리공단,한마음생활체육관 출입구,캐비넷방식고정형,대전광역시 중구 대종로 373 충무체육관관리소,,36.31901392,127.3865106,,씨유메디칼시스템,P1008B0361,이찬규,042-610-4912,대전광역시 시설관리공단,042-610-4912,대전광역시 시설관리공단,2018-08-21
대전선병원,지하3층 주차장 내,캐비넷방식고정형,대전광역시 중구 목중로 29,,36.33593763,127.4104212,,PHILIPS MEDICAL SYSTEM,A15I00428,정상호,042-220-8053,대전선병원,042-220-8053,대전선병원,2018-08-21
대전선병원,서관7층,캐비넷방식고정형,대전광역시 중구 목중로 29,,36.33593763,127.4104212,,PHILIPS MEDICAL SYSTEM,A15I-00729,정상호,042-220-8053,대전선병원,042-220-8053,대전선병원,2018-08-21
대전선병원,동관1층 현관앞,캐비넷방식고정형,대전광역시 중구 목중로 29,,36.33593763,127.4104212,,PHILIPS MEDICAL SYSTEM,A15I-00763,정상호,042-220-8053,대전선병원,042-220-8053,대전선병원,2018-08-21
한밭종합사회복지관,2층 복도 벽면,장비부착고정형,대전광역시 서구 월평북로 11,,36.36348675,127.3700705,,(주)씨유메디칼시스템,G1N40B0072,김영남,042-484-5348,한밭종합사회복지관,042-484-5348,한밭종합사회복지관,2018-08-21
대전삼천중학교,본관2층보건실복도,캐비넷방식고정형,대전광역시 서구 문정로 271,,36.35833574,127.3937241,,(주)씨유메디칼시스템,G1N05C0107,김은자,042-483-6734,대전삼천중학교,042-483-6734,대전삼천중학교,2018-08-21
대전문정중학교,2층 방송실 앞,장비부착고정형,대전광역시 서구 둔산북로 232-11,,36.35547641,127.4015485,,(주)씨유메디칼시스템,P1N01A0421,조향희,042-486-0822,대전문정중학교,042-486-0822,대전문정중학교,2018-08-21
(주)농협대전유통,1층 고객센터 앞,캐비넷방식고정형,대전광역시 중구 대둔산로199번길 43,,36.28859058,127.3784481,,주식회사 라디안,D1R311610051,성낙훈,042-580-5000,(주)농협대전유통,042-580-5000,(주)농협대전유통,2018-08-21
대전선병원,동관2층 복도 내,캐비넷방식고정형,대전광역시 중구 목중로 29,,36.33593763,127.4104212,,PHILIPS MEDICAL SYSTEM,A15I-00428,정상호,042-220-8053,대전선병원,042-220-8053,대전선병원,2018-08-21
국립농산물품질관리원,2층 복도,캐비넷방식고정형,대전광역시 중구 보문로 327,,36.33095034,127.4182715,,PHILIPS,B15G-01725,오승준,042-256-7901,국립농산물품질관리원,042-256-7901,국립농산물품질관리원,2018-08-21
대전도시철도공사 서대전네거리역,지하 4층 승강장 중앙,캐비넷방식고정형,대전광역시 중구 계룡로 지하889,,36.32244513,127.4125376,,(주)씨유메디컬시스템,RP1H20B0063,남동우(팩스:042-222-3107),042-222-3107,대전도시철도공사 서대전네거리역,042-222-3107,대전도시철도공사 서대전네거리역,2018-08-21
대전마케팅공사,대전마케팅공사 엑스포과학공원 고객만족센터,캐비넷방식고정형,대전광역시 유성구 대덕대로512번길 30,,36.37875976,127.3815458,,니혼코텐,2660,정강원,042-250-1371,대전마케팅공사,042-250-1371,대전마케팅공사,2018-08-21
대전도시철도공사 중앙로역,중앙로역 대합실,캐비넷방식고정형,대전광역시 중구 중앙로 지하 145 　,,36.32867081,127.4258015,,씨유네트웍스,RP1H20B0026,서영환,042-539-3213,대전도시철도공사 중앙로역,042-539-3213,대전도시철도공사 중앙로역,2018-08-21
관저종합사회복지관,1층 로비 기둥,장비부착고정형,대전광역시 서구 구봉로 13,,36.29833539,127.3253732,,(주)씨유메디칼시스템,G1N40B0064,노희승,042-545-6810,관저종합사회복지관,042-545-6810,관저종합사회복지관,2018-08-21
대전마케팅공사,대전마케팅공사 관리동 1층 로비,캐비넷방식고정형,대전광역시 유성구 대덕대로512번길 30,,36.37875976,127.3815458,,니혼코텐,2540,정강원,042-250-1371,대전마케팅공사,042-250-1371,대전마케팅공사,2018-08-21
대전시설관리공단무지개복지센터,무지개복지센터 광장동 출입문입구앞,캐비넷방식고정형,대전광역시 대덕구 대덕대로1417번길 80,,36.45064468,127.4053715,,(주)나눔테크,NT280-K13-00136,설현미(유선:042-930-2319,042-930-2319,대전시설관리공단무지개복지센터,042-930-2319,대전시설관리공단무지개복지센터,2018-08-21
도시철도공사대전역,지하 5층 판암행 PSD 2-2 앞,캐비넷방식고정형,대전광역시 동구 중앙로 지하218,,36.33128781,127.4328324,,(주)씨유메디컬,RP1H20B0111,박일영(유선:042-222-3104,042-224-3104,도시철도공사대전역,042-224-3104,도시철도공사대전역,2018-08-21
도시철도공사대동역,지하 1층 대합실,캐비넷방식고정형,대전광역시 동구 계족로 지하176,,36.32961139,127.4427354,,(주)씨유메디컬,PR1H20B0024,김종태(유선:042-625-3103,042-625-3103,도시철도공사대동역,042-625-3103,도시철도공사대동역,2018-08-21
대전광역시서구의회,서구의회 로비 1층,캐비넷방식고정형,대전광역시 서구 둔산서로 100,,36.35506745,127.3833865,,니혼코덴코리아,SN-02446,정광호 팩스)042-611-8630,042-511-5313,대전광역시서구의회,042-511-5313,대전광역시서구의회,2018-08-21
ktlinkus(주)중부본부대전지사,인동현대아파트,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.32024378,127.4395287,,나눔테크,nt180k1200949,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
대전도시철도공사 오룡역,지하 2층 하선 승강장,캐비넷방식고정형,대전광역시 중구 계룡로 지하793,,36.32868191,127.4049749,,(주)씨유메디컬시스템,RP2149B0101,강희준,042-521-3108,대전도시철도공사 오룡역,042-521-3108,대전도시철도공사 오룡역,2018-08-21
용운국제수영장,2층 운영실 내,캐비넷방식고정형,대전광역시 동구 동부로 138,,36.32518076,127.4665474,,(주)나눔테크,NT180-K10-00810,박동석,042-280-1041,용운국제수영장,042-280-1041,용운국제수영장,2018-08-21
신탄진평생학습도서관,1층로비,캐비넷방식고정형,대전광역시 대덕구 신탄진동로 64,,36.44650549,127.4373309,,씨유메디칼,RP2149B0267,윤여상(유선:042-608-5532,042-608-5532,신탄진평생학습도서관,042-608-5532,신탄진평생학습도서관,2018-08-21
대전도시철도공사 오룡역,지하 1층 역무실 앞,캐비넷방식고정형,대전광역시 중구 계룡로 지하793,,36.32868199,127.4049526,,(주)씨유메디컬시스템,RP1H20B0196,강희준,042-521-3108,대전도시철도공사 오룡역,042-521-3108,대전도시철도공사 오룡역,2018-08-21
도시철도공사대전역,지하 3층 역무실 앞,캐비넷방식고정형,대전광역시 동구 중앙로 지하218,,36.33128764,127.4328771,,(주)씨유메디컬,RP1H20B0213,박일영(유선:042-222-3104,042-224-3104,도시철도공사대전역,042-224-3104,도시철도공사대전역,2018-08-21
만인산푸른학습원,학습원 현관 로비,캐비넷방식고정형,대전광역시 동구 산내로 106,,36.20221773,127.4548263,,필립스,B10F-06952,영동희,042-270-8656,만인산푸른학습원,042-270-8656,만인산푸른학습원,2018-08-21
용운국제수영장,2층 안내데스크 옆,캐비넷방식고정형,대전광역시 동구 동부로 138,,36.32535251,127.4664148,,(주)나눔테크,NT180-K10-00811,박동석,042-280-1041,용운국제수영장,042-280-1041,용운국제수영장,2018-08-21
도시철도공사신흥역,지하 2층 역무실 앞,캐비넷방식고정형,대전광역시 동구 옥천로 지하70,,36.31972588,127.4486706,,(주)씨유메디컬,PR1H20B215,노광현(유선:042-539-3602,042-539-3602,도시철도공사신흥역,042-539-3602,도시철도공사신흥역,2018-08-21
도시철도공사판암역,지하 2층 하선승강장,캐비넷방식고정형,대전광역시 동구 옥천로 지하162,,36.31720285,127.4592795,,(주)씨유메디컬,RPIH20B0056,노광현(유선:042-274-3101,042-274-3101,도시철도공사판암역,042-274-3101,도시철도공사판암역,2018-08-21
